Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock Name
2025-01-14 00:00:00-05:00,234.4921752,235.8606656,232.2146805,233.0237885,39435300,0,0,Apple
2025-01-15 00:00:00-05:00,234.3823011,238.6975639,234.172525,237.6087494,39832000,0,0,Apple
2025-01-16 00:00:00-05:00,237.0893363,237.7485999,227.7795647,228.0093079,71759100,0,0,Apple
2025-01-17 00:00:00-05:00,231.8650661,232.0348776,228.2290644,229.727417,68488300,0,0,Apple
2025-01-21 00:00:00-05:00,223.7539842,224.1735211,219.1390632,222.3954773,98070400,0,0,Apple
2025-01-22 00:00:00-05:00,219.5485961,223.8738423,219.5485961,223.5841675,64126500,0,0,Apple
2025-01-23 00:00:00-05:00,224.4931834,226.7806617,222.0558607,223.4143677,60234800,0,0,Apple
2025-01-24 00:00:00-05:00,224.5331275,225.3822001,221.1668336,222.5353241,54697900,0,0,Apple
2025-01-27 00:00:00-05:00,223.7739617,231.8950221,223.7339971,229.6075439,94863400,0,0,Apple
2025-01-28 00:00:00-05:00,230.5964713,239.9262098,230.5565067,237.9983215,75707600,0,0,Apple
2025-01-29 00:00:00-05:00,233.8628716,239.5965731,233.7529918,239.0971222,45486100,0,0,Apple
2025-01-30 00:00:00-05:00,238.4078715,240.5255382,236.9494835,237.3290558,55658300,0,0,Apple
2025-01-31 00:00:00-05:00,246.9185273,246.9185273,233.1836282,235.7408142,101075100,0,0,Apple
2025-02-03 00:00:00-05:00,229.737419,231.5753945,225.4521219,227.7595825,73063300,0,0,Apple
2025-02-04 00:00:00-05:00,227.0004191,232.8739662,226.401072,232.5443268,45067300,0,0,Apple
2025-02-05 00:00:00-05:00,228.2790158,232.4144685,228.0193069,232.2146912,39620300,0,0,Apple
2025-02-06 00:00:00-05:00,231.0359789,233.543232,230.1769228,232.9638672,29925300,0,0,Apple
2025-02-07 00:00:00-05:00,232.3445477,233.743004,227.0104009,227.3800049,39707200,0,0,Apple
2025-02-10 00:00:00-05:00,229.5700073,230.5899963,227.1999969,227.6499939,33115600,0.25,0,Apple
2025-02-11 00:00:00-05:00,228.1999969,235.2299957,228.1300049,232.6199951,53718400,0,0,Apple
2025-02-12 00:00:00-05:00,231.1999969,236.9600067,230.6799927,236.8699951,45243300,0,0,Apple
2025-02-13 00:00:00-05:00,236.9100037,242.3399963,235.5700073,241.5299988,53543300,0,0,Apple
2025-01-14 00:00:00-05:00,192.5,193.2700043,189.6399994,191.0500031,13651200,0,0,Google
2025-01-15 00:00:00-05:00,194.3500061,197.8000031,193.3300018,196.9799957,12894900,0,0,Google
2025-01-16 00:00:00-05:00,195.8249969,196.9799957,194.3000031,194.4100037,13449600,0,0,Google
2025-01-17 00:00:00-05:00,198.0500031,198.8099976,195.3099976,197.5500031,22109100,0,0,Google
2025-01-21 00:00:00-05:00,200.5099945,203.8399963,199.4400024,199.6300049,19005200,0,0,Google
2025-01-22 00:00:00-05:00,200.5500031,202.1199951,199.1999969,200.0299988,15477400,0,0,Google
2025-01-23 00:00:00-05:00,199.9799957,201.9400024,196.8200073,199.5800018,15170800,0,0,Google
2025-01-24 00:00:00-05:00,199.8500061,202.5700073,199.7839966,201.8999939,12732400,0,0,Google
2025-01-27 00:00:00-05:00,194.1900024,198.6699982,192.6999969,193.7700043,24970200,0,0,Google
2025-01-28 00:00:00-05:00,194.6499939,197.2299957,192.6100006,197.0700073,15939200,0,0,Google
2025-01-29 00:00:00-05:00,197.3699951,198.4600067,195.1900024,197.1799927,12287800,0,0,Google
